Terraform Resources,AWS Resource,CRUD Operation,PolicyRule Required,,,,
aws_network_acl,NetworkAcl,CREATE,ec2:CreateNetworkAcl,1.6.1,,,
aws_network_acl,NetworkAcl,CREATE,ec2:CreateNetworkAclEntry,1.6.1,,,
aws_network_acl,NetworkAcl,READ,ec2:DescribeNetworkAcls,1.6.1,,,
aws_network_acl,NetworkAcl,UPDATE,ec2:ReplaceNetworkAclAssociation,1.6.1,,,
aws_network_acl,NetworkAcl,DELETE,ec2:DeleteNetworkAcl,1.6.1,,,
aws_network_acl,NetworkAcl,DELETE,ec2:DeleteNetworkAclEntry,1.6.1,,,
aws_network_interface,NetworkInterface,CREATE,ec2:CreateNetworkInterface,1.6.1,,,
aws_network_interface,NetworkInterface,CREATE,ec2:AttachNetworkInterface,1.6.1,,,
aws_network_interface,NetworkInterface,READ,ec2:DescribeNetworkInterfaceAttributes,1.6.1,,,
aws_network_interface,NetworkInterface,READ,ec2:DescribeNetworkInterfaces,1.6.1,,,
aws_network_interface,NetworkInterface,UPDATE,ec2:ModifyNetworkInterfaceAttribute,1.6.1,,,
aws_network_interface,NetworkInterface,DELETE,ec2:DetachNetworkInterface,1.6.1,,,
aws_network_interface,NetworkInterface,DELETE,ec2:DeleteNetworkInterface,1.6.1,,,
aws_autoscaling_group,AutoScalingGroup,CREATE,autoscaling:AttachLoadbalancers,1.6.1,,,
aws_autoscaling_group,AutoScalingGroup,CREATE,autoscaling:CreateAutoScalingGroup,1.6.1,,,
aws_autoscaling_group,AutoScalingGroup,READ,autoscaling:DescribeAutoScalingGroups,1.6.1,,,
aws_autoscaling_group,AutoScalingGroup,READ,elasticloadbalancing:DescribeInstanceHealth,1.6.1,,,
aws_autoscaling_group,AutoScalingGroup,UPDATE,autoscaling:UpdateAutoScalingGroup,1.6.1,,,
aws_autoscaling_group,AutoScalingGroup,DELETE,autoscaling:DetachLoadbalancers,1.6.1,,,
aws_autoscaling_group,AutoScalingGroup,DELETE,autoscaling:DeleteAutoScalingGroup,1.6.1,,,
aws_launch_configuration,LaunchConfiguration,CREATE,autoscaling:CreateLaunchConfiguration,1.6.1,,,
aws_launch_configuration,LaunchConfiguration,READ,autoscaling:DescribeLaunchConfiguration,1.6.1,,,
aws_launch_configuration,LaunchConfiguration,DELETE,autoscaling:DeleteLaunchConfiguration,1.6.1,,,
aws_vpc,Vpc,CREATE,ec2:CreateVpc,1.6.1,,,
aws_vpc,Vpc,CREATE,ec2:DescribeNetworkACLs,1.6.1,,,
aws_vpc,Vpc,CREATE,ec2:DescribeRouteTables,1.6.1,,,
aws_vpc,Vpc,READ,ec2:DescribeSecurityGroups,1.6.1,,,
aws_vpc,Vpc,READ,ec2:DescribeVpcAttribute,1.6.1,,,
aws_vpc,Vpc,READ,ec2:DescribeVpc,1.6.1,,,
aws_vpc,Vpc,UPDATE,ec2:ModifyVpcAttribute,1.6.1,,,
aws_vpc,Vpc,DELETE,ec2:DeleteVpc,1.6.1,,,
aws_vpc_endpoint,VpcEndpoint,CREATE,ec2:CreateVpc,1.6.1,,,
aws_vpc_endpoint,VpcEndpoint,CREATE,ec2:CreateVpcEndpoint,1.6.1,,,
aws_vpc_endpoint,VpcEndpoint,READ,ec2:DescribeVpcEndpoints,1.6.1,,,
aws_vpc_endpoint,VpcEndpoint,UPDATE,ec2:ModifyVpcEndpoint,1.6.1,,,
aws_vpc_endpoint,VpcEndpoint,DELETE,ec2:DeleteVpcEndpoints,1.6.1,,,
aws_vpc_endpoint,VpcEndpoint,DELETE,ec2:DeleteVpc,1.6.1,,,
aws_vpc_peering_connection,VpcPeeringConnection,CREATE,ec2:CreateVpc,1.6.1,,,
aws_vpc_peering_connection,VpcPeeringConnection,CREATE,ec2:CreateVpcPeeringConnection,1.6.1,,,
aws_vpc_peering_connection,VpcPeeringConnection,CREATE,ec2:AcceptVpcPeeringConnection,1.6.1,,,
aws_vpc_peering_connection,VpcPeeringConnection,READ,ec2:DescribeVpcPeeringConnections,1.6.1,,,
aws_vpc_peering_connection,VpcPeeringConnection,DELETE,ec2:DeleteVpc,1.6.1,,,
aws_vpc_peering_connection,VpcPeeringConnection,DELETE,ec2:DeleteVpcPeeringConnection,1.6.1,,,
aws_subnet,Subnet,CREATE,ec2:CreateSubnet,1.6.1,,,
aws_subnet,Subnet,READ,ec2:DescribeSubnets,1.6.1,,,
aws_subnet,Subnet,UPDATE,ec2:ModifySubnetAttributes,1.6.1,,,
aws_subnet,Subnet,DELETE,ec2:DeleteSubnet,1.6.1,,,
aws,Tags,CREATE,ec2:CreateTags,1.6.1,,,
aws,Tags,DELETE,ec2:DeleteTags,1.6.1,,,
aws_instance,Instance,CREATE,ec2:RunInstances,1.6.1,,,
aws_instance,Instance,CREATE,ec2:MonitorInstances,1.6.1,,,
aws_instance,Instance,READ,ec2:DescribeImages,1.6.1,,,
aws_instance,Instance,READ,ec2:DescribeVolumes,1.6.1,,,
aws_instance,Instance,READ,ec2:DescribeInstances,1.6.1,,,
aws_instance,Instance,UPDATE,ec2:ModifyInstanceAttribute,1.6.1,,,
aws_instance,Instance,DELETE,ec2:TerminateInstances,1.6.1,,,
aws_instance,Instance,DELETE,ec2:UnmonitorInstances,1.6.1,,,
aws_security_group,SecurityGroup,CREATE,ec2:CreateSecurityGroup,1.6.1,,,
aws_security_group,SecurityGroup,CREATE,ec2:AuthorizeSecurityGroupEgress,1.6.1,,,
aws_security_group,SecurityGroup,CREATE,ec2:AuthorizeSecurityGroupIngress,1.6.1,,,
aws_security_group,SecurityGroup,CREATE,ec2:RevokeSecurityGroupEgress,1.6.1,,,
aws_security_group,SecurityGroup,CREATE,ec2:RevokeSecurityGroupIngress,1.6.1,,,
aws_security_group,SecurityGroup,READ,ec2:DescribeSecurityGroups,1.6.1,,,
aws_security_group,SecurityGroup,DELETE,ec2:RevokeSecurityGroupIngress,1.6.1,,,
aws_security_group,SecurityGroup,DELETE,ec2:RevokeSecurityGroupEgress,1.6.1,,,
aws_security_group,SecurityGroup,DELETE,ec2:DeleteSecurityGroup,1.6.1,,,
aws_security_group_rule,SecurityGroupEgress,CREATE,ec2:AuthorizeSecurityGroupEgress,1.6.1,,,
aws_security_group_rule,SecurityGroupEgress,READ,ec2:DescribeSecurityGroups,1.6.1,,,
aws_security_group_rule,SecurityGroupEgress,DELETE,ec2:RevokeSecurityGroupEgress,1.6.1,,,
aws_security_group_rule,SecurityGroupIngress,CREATE,ec2:AuthorizeSecurityGroupIngress,1.6.1,,,
aws_security_group_rule,SecurityGroupIngress,READ,ec2:DescribeSecurityGroups,1.6.1,,,
aws_security_group_rule,SecurityGroupIngress,DELETE,ec2:RevokeSecurityGroupIngress,1.6.1,,,
aws_internet_gateway,InternetGateway,CREATE,ec2:CreateInternetGateway,1.6.1,,,
aws_internet_gateway,InternetGateway,CREATE,ec2:AttachInternetGateway,1.6.1,,,
aws_internet_gateway,InternetGateway,READ,ec2:DescribeInternetGateways,1.6.1,,,
aws_internet_gateway,InternetGateway,DELETE,ec2:DetachInternetGateway,1.6.1,,,
aws_internet_gateway,InternetGateway,DELETE,ec2:DeleteInternetGateway,1.6.1,,,
aws_route_table,Route,CREATE,ec2:CreateRoute,1.6.1,,,
aws_route_table,Route,DELETE,ec2:DeleteRoute,1.6.1,,,
aws_route_table,RouteTable,CREATE,ec2:CreateRouteTable,1.6.1,,,
aws_route_table,RouteTable,CREATE,ec2:EnableVGWRoutePropagation,1.6.1,,,
aws_route_table,RouteTable,READ,ec2:DescribeRouteTable,1.6.1,,,
aws_route_table,RouteTable,DELETE,ec2:DisableVGWRoutePropagation,1.6.1,,,
aws_route_table,RouteTable,DELETE,ec2:DisassociateRouteTable,1.6.1,,,
aws_route_table,RouteTable,DELETE,ec2:DeleteRouteTable,1.6.1,,,
aws_eip,Address,CREATE,ec2:AllocateAddress,1.6.1,,,
aws_eip,Address,CREATE,ec2:AssociateAddress,1.6.1,,,
aws_eip,Address,READ,ec2:DescribeAddresses,1.6.1,,,
aws_eip,Address,DELETE,ec2:ReleaseAddress,1.6.1,,,
aws_eip,Address,DELETE,ec2:DisassociateAddress,1.6.1,,,
aws_main_route_table_association,RouteTable,READ,ec2:DescribeRouteTable,1.6.1,,,
aws_main_route_table_association,RouteTable,UPDATE,ec2:ReplaceRouteTableAssociation,1.6.1,,,
aws_route_table_association,RouteTable,CREATE,ec2:AssociateRouteTable,1.6.1,,,
aws_route_table_association,RouteTable,UPDATE,ec2:ReplaceRouteTableAssociation,1.6.1,,,
aws_route_table_association,RouteTable,DELETE,ec2:DisassociateRouteTable,1.6.1,,,
aws_route_53_record,Route53Record,UPDATE,route53:ChangeResourceRecordSets,1.6.1,,,
aws_route_53_record,Route53Record,READ,route53:GetHostedZone,1.6.1,,,
aws_route_53_record,Route53Record,READ,route53:ListResourceRecordSets,1.6.1,,,
aws_route_53_record,Route53Record,UPDATE,route53:ChangeTagsForResource,1.6.1,,,
aws_reoute_53_health_check,Route53HealthCheck,CREATE,route53:CreateHealthCheck,1.6.1,,,
aws_reoute_53_health_check,Route53HealthCheck,READ,route53:GetHealthCheck,1.6.1,,,
aws_reoute_53_health_check,Route53HealthCheck,READ,route53:ListTagsForResource,1.6.1,,,
aws_reoute_53_health_check,Route53HealthCheck,UPDATE,route53:UpdateHealthCheck,1.6.1,,,
aws_reoute_53_health_check,Route53HealthCheck,DELETE,route53:DeleteHealthCheck,1.6.1,,,
aws_ebs_volume,Volume,CREATE,ec2:CreateVolume,1.6.1,,,
aws_ebs_volume,Volume,DELETE,ec2:DeleteVolume,1.6.1,,,
aws_ebs_volume,Volume,READ,ec2:DescribeVolumes,1.6.1,,,
aws_volume_attachment,Volume,CREATE,ec2:AttachVolume,1.6.1,,,
aws_volume_attachment,Volume,READ,ec2:DescribeVolumes,1.6.1,,,
aws_volume_attachment,Volume,DELETE,ec2:DetachVolume,1.6.1,,,
aws_elb,ElasticLoadBalancer,CREATE,elasticloadbalancing:ApplySecurityGroupsToLoadbalancer,1.6.1,,,
aws_elb,ElasticLoadBalancer,CREATE,elasticloadbalancing:ConfigureHealthCheck,1.6.1,,,
aws_elb,ElasticLoadBalancer,CREATE,elasticloadbalancing:CreateLoadBalancer,1.6.1,,,
